14.79,14.79
14.79,15.15
14.79,15.77
14.79,15.51
14.79,15.60
14.79,15.60
14.79,15.42
14.79,15.69
14.79,15.51
14.79,15.42
14.79,15.51
14.79,15.24
14.79,16.49
14.79,15.33
14.79,15.06
14.79,15.77
14.79,15.60
14.79,15.60
14.79,15.60
14.79,15.60
14.79,-0.30
14.79,15.60
14.79,15.69
14.79,15.60
14.79,14.88
14.79,17.47
14.88,16.76
14.97,17.47
15.06,16.40
15.06,17.38
15.24,18.81
15.24,4.52
15.24,5.62
15.33,18.45
15.51,19.87
15.60,20.32
15.77,22.90
15.95,19.34
16.22,21.74
16.49,22.72
16.67,23.25
17.03,41.80
17.29,22.01
17.56,24.78
17.83,25.95
18.27,46.76
18.45,26.58
18.81,27.58
19.07,27.58
19.43,15.86
19.78,29.05
20.14,27.67
20.58,30.07
20.94,30.07
21.29,26.67
21.74,31.38
22.09,32.33
22.45,22.01
22.81,38.70
23.16,31.20
23.61,34.46
23.88,30.91
24.24,34.46
24.78,36.14
25.13,36.75
25.59,35.94
25.95,38.91
26.40,60.85
26.76,38.91
27.13,49.89
27.58,39.33
27.95,39.96
28.31,40.07
28.77,42.69
29.05,41.80
29.51,41.36
29.88,42.35
30.26,43.36
30.63,43.82
31.01,44.39
31.48,44.28
31.86,45.68
32.24,45.44
32.62,46.51
33.00,46.27
33.29,47.49
33.68,47.98
34.07,47.37
34.56,48.99
34.85,49.12
35.25,49.76
35.84,49.63
36.24,51.34
36.65,51.08
37.05,52.16
37.46,51.89
37.87,52.85
38.28,53.55
38.70,43.25
39.12,56.95
39.43,55.44
39.86,55.44
40.28,55.73
40.71,55.14
41.04,48.61
41.47,56.80
41.80,58.36
42.24,57.89
42.58,58.85
43.02,53.13
43.47,59.34
43.70,72.25
44.16,60.17
44.51,60.51
44.85,55.29
45.32,61.71
45.68,62.06
46.03,62.96
46.51,63.14
46.88,62.60
47.24,62.96
47.61,64.44
47.98,64.82
48.49,63.88
48.86,64.63
49.12,65.21
49.50,65.01
49.89,65.01
50.28,64.82
50.55,65.21
50.94,65.01
51.21,65.21
51.48,63.69
51.75,63.14
52.02,64.82
52.30,61.02
52.57,63.69
